As,Cd,Cr,Cu,Fe,Mn,Ni,Pb,Zn,Hg,Co,Al,Se,Sb,Ba,V,sample_id,lat,long,HPI
249.762,202.004,225.197,39.885,213.599,179.337,20.272,51.678,241.968,47.327,39.797,130.348,248.032,139.189,261.012,74.675,Maktupur1,21.14305556,70.09583333,106.35
10.212,5.133,7.717,9.537,8.133,11.488,7.238,1.597,1.896,2.222,0.124,14.593,11.654,13.829,13.228,0.801,Galodar,21.14722222,70.275,5
33.529,80.918,16.857,85.83,34.131,32.5,2.654,0.786,113.059,50.721,73.357,9.055,109.084,30.593,3.843,98.553,Manketara,21.15,70.12916667,52.26
152.465,236.173,209.022,53.974,122.52,82.184,145.662,48.346,148.621,41.359,19.41,127.411,103.182,55.032,78.861,217.67,Khamba,21.15,71.23888889,91.52
75.457,3.915,30.149,16.529,26.158,11.232,79.628,14.885,24.216,64.336,66.811,56.741,50.637,39.8,76.318,43.427,Chapawadi,21.15138889,73.39361111,48.42
20.861,49.781,46.076,82.292,66.068,31.058,121.59,126.551,69.719,61.686,149.8,13.362,43.446,75.334,57.911,154.588,Bagumda,21.15833333,72.98888889,64.29
23.802,71.625,19.022,48.585,64.139,55.626,65.932,11.041,35.981,65.231,21.215,63.737,16.829,54.244,22.136,68.087,Gandhinagar,21.16416667,73.69555556,56.9
119.948,89.203,114.235,13.792,27.436,31.494,61.921,127.611,146.867,19.355,82.622,100.011,96.88,17.573,139.438,109.484,Lohej,21.16666667,70.06666667,49.61
8.532,1.849,5.628,6.134,5.678,3.054,4.259,5.181,7.522,4.785,8.156,10.771,3.254,9.646,9.75,9.033,Juthal,21.16666667,70.26666667,5
3.859,3.774,8.608,7.079,0.281,9.213,3.124,1.943,5.051,5.564,3.471,4.944,7.043,5.093,9.259,8.01,Mota,21.17027778,73.06861111,5
3.855,3.826,6.291,0.218,5.107,2.546,6.473,1.306,2.818,5.555,1.4,1.307,5.49,6.379,4.264,5.746,Jesingpura[sg],21.17083333,73.55416667,5
6.068,4.446,6.186,1.482,5.767,5.855,1.965,6.455,5.906,6.178,6.102,4.48,1.708,1.326,0.049,1.27,Uchchhal,21.17194444,73.76916667,5
14.336,13.889,4.063,8.211,13.885,3.695,0.934,8.164,13.998,1.378,3.335,5.07,10.298,0.878,11.182,1.434,Goraj,21.18333333,70.15416667,5
35.807,20.223,18.414,36.547,76.684,27.728,44.051,72.222,49.313,37.707,52.385,16.715,51.04,68.044,63.621,28.89,Goraj1,21.18333333,70.15416667,40.18
41.033,36.025,3.093,70.126,61.56,0.345,65.171,43.504,2.655,29.162,11.089,54.283,63.64,58.969,33.427,35.24,Sil,21.18555556,70.04638889,36.97
109.037,5.215,203.044,39.817,75.832,107.653,90.879,47.434,19.541,55.834,101.821,91.144,203.222,100.583,94.114,184.425,Bora,21.19111111,71.92888889,66.16
6.291,5.825,6.042,6.665,9.565,5.907,2.291,8.059,8.933,3.856,2.93,4.055,2.214,9.597,6.453,1.251,Motivadal,21.19722222,71.55,5
58.663,16.838,43.378,23.267,56.923,36.614,48.169,49.003,55.316,39.025,0.543,57.476,41.765,6.718,0.393,10.908,Motichher,21.2125,73.36222222,33.25
0.585,1.719,0.497,3.02,4.462,7.594,8.18,8.662,0.951,5.443,4.509,2.552,3.409,8.978,6.608,5.921,Longadi,21.21388889,71.88333333,5
6.868,14.94,10.839,5.275,19.619,2.102,17.709,18.922,1.125,14.51,17.064,2.928,16.117,4.246,14.663,8.596,Bamanwara,21.22083333,70.05555556,13.38
59.474,46.684,65.795,80.432,63.184,84.252,12.883,38.452,35.209,71.822,22.043,75.905,76.457,23.821,81.275,37.752,Datha,21.22083333,71.95,58.22
16,107.583,175.265,135.321,50.569,100.274,116.645,169.845,172.372,114.7,22.758,76.531,140.796,135.929,90.484,72.912,Kadod,21.22083333,73.225,113.79
103.043,34.09,58.402,55.06,96.68,81.382,20.461,77.602,66.717,4.396,57.438,56.617,15.827,14.832,26.017,61.465,Kadod 1,21.22138889,73.21888889,22.63
20.029,4.837,6.809,40.552,20.467,5.276,9.684,57.089,34.904,17.429,42.132,32.417,49.855,43.671,33.751,28.272,Sil bandar,21.22361111,70.05555556,21.83
4.29,55.385,34.274,53.683,22.719,51.017,39.254,41.691,12.636,44.862,9.031,7.982,25.108,12.565,52.984,29.013,Bhatsimroli,21.22361111,70.18333333,39.25
105.035,200.852,151.468,18.637,170.99,226.993,174.264,172.119,128.957,0.935,75.616,226.935,97.742,96.937,103.262,109.18,Goradka,21.225,71.41111111,73.51
2.697,8.68,0.512,9.159,9.899,4.717,3.314,4.989,0.824,2.757,6.946,1.538,9.874,9.868,8.945,0.915,Bhurvel (ukai),21.225,73.57916667,5
61.668,153.745,127.005,64.737,31.177,130.733,35.366,143.088,112.743,8.725,121.252,149.683,36.157,11.869,47.714,8.728,Saroli,21.229583,72.790778,48.7
123.541,94.868,40.374,23.386,3.738,41.036,77.411,13.892,26.521,24.718,107.582,117.125,16.94,106.877,96.786,113.737,Alwani,21.23055556,70.6375,52.66
10.309,10.897,10.671,8.548,3.162,7.008,12.267,5.217,0.762,0.338,1.193,4.659,10.048,10.598,0.203,10.614,Ingorala,21.23333333,71.2,5
48.449,41.791,27.55,28.48,50.763,8.701,62.02,27.741,52.874,15.77,62.216,28.31,13.861,52.365,12.118,56.483,Vankiya1,21.23333333,71.25,28.34
19.275,82.738,23.094,103.281,72.384,62.181,56.393,16.863,9.233,40.55,55.105,47.005,96.856,8.577,90.306,49.313,Antroli,21.23611111,70.00694444,45.73
7.678,4.905,79.484,73.725,60.256,23.9,3.588,57.904,63.034,48.276,59.765,57.183,83.213,62.096,0.359,24.663,Jira,21.2375,71.09166667,41.48
13.34,2.701,10.672,16.123,10.795,17.616,3.6,7.715,10.042,4.36,9.694,15.938,4.647,4.49,14.795,8.863,Shantinagar,21.24583333,71.65,5
214.713,124.392,194.52,25.673,224.036,182.839,32.637,182.557,205.266,79.4,88.272,85.901,92.523,147.37,219.325,172.365,Digas,21.24833333,73.02555556,108.68
55.233,36.95,72.833,55.928,35.434,46.211,25.443,81.899,49.87,65.299,34.529,43.283,7.711,54.733,80.396,47.009,Kalej,21.24861111,70.05833333,55.18
51.953,18.363,49.818,86.006,24.488,16.934,70.727,70.085,110.356,2.785,8.562,40.011,99.131,42.617,58.743,75.459,Vadade-Khurd,21.25166667,73.81694444,23.62
7.362,56.461,52.388,56.192,37.354,77.891,25.805,56.75,43.195,29.958,85.996,19.862,65.599,49.871,43.601,39.536,Virpur,21.25416667,71.15,39.55
1.056,4.802,1.458,5.016,0.026,1.178,2.981,2.639,2.798,6.91,2.085,3.454,3.771,1.074,4.548,4.433,Badhda,21.26583333,71.33888889,5
10.483,12.707,11.137,5.878,11.899,3.602,0.104,2.915,3.169,12.019,1.023,7.431,6.517,8.815,12.205,6.832,Kewarda,21.26666667,70.20833333,10.45
2.738,9.152,14.11,5.711,11.744,14.465,6.747,12.918,7.679,2.086,1.569,2.016,16.829,1.305,9.863,15.446,Kasia Naka Check Post,21.27027778,70.68055556,5
39.263,17.252,13.41,30.857,158.155,78.661,30.182,152.838,9.39,3.107,78.746,153.852,63.2,160.309,10.398,150.069,Khedwada (Ashram Falia),21.28111111,73.46527778,38.15
35.838,60.508,27.973,41.699,6.136,5.783,33.366,39.776,2.605,17.868,26.318,68.318,20.643,22.044,72.151,27.452,Pasvi,21.29166667,71.96666667,28.47
4.802,6.497,9.998,6.783,4.39,7.067,5.195,6.451,10.26,4.494,0.655,7.902,5.325,4.157,4.58,2.97,Kathor,21.29166667,72.92916667,5
3.531,5.086,0.678,1.303,0.299,5.765,3.201,1.327,6.603,5.645,5.289,6.626,4.255,5.256,6.243,6.703,Pata,21.29722222,69.94166667,5
21.085,14.865,17.727,3.693,20.871,2.269,1.507,20.968,39.03,4.108,23.162,21.631,11.992,22.788,6.731,24.348,Prempara,21.3,70.7,10.5
7.196,4.878,8.645,0.617,3.957,9.158,1.162,9.413,14.215,14.855,5.364,4.183,11.418,4.348,11.409,16.115,Sayan,21.30555556,72.91083333,10.67
21.941,15.757,1.758,26.334,5.914,21.629,21.746,22.719,18.551,24.858,18.659,2.22,8.5,24.99,23.051,16.091,Tokarwa 1,21.31,73.85111111,21.66
9.674,6.458,3.024,0.55,1.267,7.451,4.421,5.134,2.991,3.461,5.799,1.098,5.809,7.855,5.813,4.126,Navi pardi,21.32222222,72.97083333,5
9.565,11.529,3.016,9.64,3.485,3.741,5.195,7.64,1.683,2.421,0.761,3.225,7.863,2.032,5.024,11.437,Mendarda1,21.325,70.43333333,5
47.915,9.926,51.811,6.996,7.577,11.885,36.261,6.902,63.968,56.002,61.616,27.152,65.136,32.696,69.334,41.197,Dharangani,21.33333333,71.2,42.34
7.128,26.517,16.916,27.995,20.688,18.21,13.849,28.841,2.517,0.8,12.439,26.192,29.53,19.257,0.94,5.41,Dhari,21.3375,71.04166667,11.11
8.699,3.176,1.06,7.336,1.848,7.694,4.912,8.226,8.586,5.451,9.464,3.065,9.252,0.519,2.291,1.175,Olpad2,21.34166667,72.75833333,5
42.308,0.314,11.634,13.109,11.459,44.389,46.025,44.015,34.509,7.915,32.76,43.488,12.445,3.247,35.985,34.561,Mocha,21.34833333,69.88916667,11.81
25.458,19.967,6.68,29.577,18.65,42.888,7.546,49.979,5.148,49.362,41.667,30.473,8.415,30.861,21.872,48.887,Mandawad,21.35833333,70.74583333,37.47
31.519,84.239,109.103,108.699,25.123,28.679,78.592,10.318,114.844,85.922,34.66,23.484,47.55,135.208,128.915,52.699,Talaja2,21.36666667,72.01666667,80.76
17.526,83.917,30.613,121.624,13.609,81.408,130.853,122.827,70.192,44.784,49.257,80.015,90.402,106.323,4.794,5.888,Balej,21.37083333,69.875,64.52
58.755,85.459,23.196,18.269,77.313,26.35,76.569,1.213,88.088,76.921,71.754,25.977,6.557,13.813,58.099,86.163,Khoras ahir,21.37083333,70.33888889,62.65
89.016,22.731,32.541,70.741,81.335,3.233,76.175,46.101,30.186,30.979,55.894,80.919,25.88,69.808,32.918,10.206,Morjhar,21.37611111,71.11861111,38.29
24.964,34.489,4.147,29.587,36.763,24.507,15.037,13.93,34.171,14.514,15.766,32.347,12.014,24.494,16.282,7.508,Tawali,21.37611111,73.90166667,19.29
1.691,3.217,4.025,0.855,4.411,5.658,3.994,6.942,0.292,5.948,2.821,0.822,6.274,4.159,4.506,2.93,Hipavadli,21.37888889,71.61472222,5
2.582,6.287,0.143,0.362,8.221,6.028,7.84,5.671,1.848,4.635,5.117,3.389,1.615,7.384,4.793,0.817,Kundheli,21.37944444,71.98055556,5
73.534,22.614,68.883,12.496,88.758,29.817,83.611,57.548,100.901,110.481,104.378,11.251,99.973,35.234,54.76,77.888,Bhatkol,21.38027778,73.00416667,80.52
94.883,50.305,58.108,99.15,83.979,59.431,7.507,98.594,18.404,87.377,54.395,23.581,31.029,26.043,7.953,51.092,Piyava,21.38333333,71.46666667,69.51
70.958,3.876,66.53,9.23,72.136,61.689,32.275,79.465,2.149,82.656,75.63,65.557,6.333,53.85,80.853,22.265,Salena,21.38611111,71.53333333,59.37
19.005,53.866,39.706,95.079,108.928,65.199,83.637,59.731,80.853,113.381,89.403,32.806,82.373,50.389,66.954,12.627,Vanda,21.38972222,71.5075,84.47
1.128,20.057,2.706,11.737,15.757,1.147,11.512,3.928,15.462,2.818,18.85,16.799,4.474,9.927,12.042,11.721,Charkhadia1,21.39166667,71.29583333,7.06
87.596,48.862,48.618,24.099,74.84,43.683,46.037,65.063,60.201,11.025,43.522,11.575,36.071,29.97,55.886,16.594,Kerala,21.39722222,71.21666667,29.28
43.781,33.516,79.255,41.356,6.784,41.142,7.758,108.52,104.828,45.662,67.055,137.064,102.165,120.587,40.859,85.228,Anita,21.39944444,72.85583333,57.36
9.264,2.854,8.247,9.991,9.013,7.191,7.649,1.422,10.163,4.411,6.627,0.85,8.027,8.317,9.328,5.683,Dungri,21.40833333,73.13333333,5
22.462,10.902,42.707,17.379,26.616,5.377,44.792,47.393,0.989,27.683,46.707,33.002,6.257,37.426,41.953,22.153,Anandpur,21.41027778,70.51805556,26.1
2.528,10.242,13.649,7.481,18.828,20.701,8.218,18.168,12.809,2.185,19.346,2.99,1.934,2.252,18.49,5.867,Chalala,21.41666667,71.16666667,5
13.403,59.58,88.125,21.377,89.553,16.476,61.803,34.365,42.731,36.239,33.981,63.491,1.541,37.949,51.912,22.099,Kherwa,21.41888889,73.95972222,38.43
68.037,63.837,52.416,46.062,22.626,13.693,51.224,36.151,71.766,85.667,75.338,17,12.626,58.922,67.331,85.839,Khokharda,21.42083333,70.31666667,70.11
5.451,4.144,0.412,7.606,8.253,2.967,5.154,3.357,7.485,5.33,8.559,3.486,5.983,5.529,2.893,0.026,Sajnasar,21.425,71.9125,5
8.16,11.793,5.766,2.152,15.808,1.704,1.521,4.945,5.315,2.417,12.21,16.14,1.56,6.128,7.909,8.986,Trapaj,21.425,72.09583333,5
9.241,2.322,17.034,2.402,5.594,10.267,4.629,2.041,12.331,4.281,5.638,15.429,0.334,13.486,0.016,0.846,Wadoli,21.425,72.82916667,5
48.266,7.078,82.574,9.568,66.969,54.77,16.804,0.943,62.67,7.917,9.454,15.373,19.332,20.95,73.886,15.561,Bhuva,21.43277778,71.36388889,12.88
8.531,16.423,6.178,11.358,7.94,23.284,7.573,18.027,12.935,15.64,10.978,6.945,9.727,19.807,18.943,6.593,Fifad,21.43611111,71.54027778,15.22
16.163,126.326,125.129,157.014,150.68,60.67,116.384,44.879,44.64,53.104,37.69,3.331,2.368,135.719,120.974,172.112,Simiran,21.4375,71.29166667,72.62
72.438,63.959,36.524,48.824,46.055,47.871,11.075,59.391,80.83,33.836,12.18,40.805,47.441,61.31,25.958,52.373,Ratia,21.43805556,69.80611111,45.24
5.286,4.715,5.136,5.788,8.717,4.105,0.775,2.657,9.205,6.146,1.295,0.607,8.917,0.29,0.872,5.488,Bilkha,21.43888889,70.6,5
2.601,0.625,7.877,2.935,3.255,6.452,1.809,3.098,0.622,7.093,8.045,6.196,4.096,4.321,3.429,7.667,Satanes,21.44166667,71.8375,5
59.988,25.001,2.679,31.816,16.926,10.449,60.809,55.558,37.058,55.769,15.239,63.176,73.134,75.012,5.846,61.485,Velachha,21.44416667,73.04861111,52.5
3.103,8.679,0.711,2.411,7.539,4.522,3.253,5.502,6.471,4.687,0.341,7.535,8.672,0.413,7.256,6.25,Navibandar,21.44583333,69.79166667,5
2.473,0.471,9.33,8.291,5.229,7.44,2.39,0.916,8.034,6.838,6.447,1.382,9.322,4.335,3.281,7.013,Ilav,21.45,72.8,5
12.342,7.399,75.216,1.276,90.074,34.926,105.271,80.63,43.401,35.071,99.907,112.716,25.651,121.722,7.464,7.25,Jhankhavav,21.45,73.32916667,42.71
18.369,20.182,2.682,19.62,7.92,17.993,9.878,30.472,18.511,10.837,12.26,24.042,28.311,17.627,23.734,23.65,Kadegi,21.45055556,69.98333333,15.5
128.409,71.322,94.41,114.03,162.312,38.599,329.279,176.92,173.726,68.131,251.33,279.038,101.652,166.724,222.554,258.599,Paneshwar,21.45416667,73.19833333,100.44
3.507,0.561,8.324,8.03,4.171,4.538,7.82,0.377,2.005,6.224,0.166,9.024,4.078,9.171,1.702,5.242,Juna umarpada,21.45833333,73.49166667,5
20.175,31.666,20.791,48.036,34.276,31.449,43.19,4.672,26.792,19.561,22.932,24.119,47.633,48.205,6.157,37.465,Vanthali ii,21.47083333,70.32777778,26.16
30.927,54.116,10.138,8.722,25.211,47.501,40.347,4.891,39.278,37.873,36.22,33.095,17.874,15.514,12.787,45.544,Sahol,21.47277778,72.80972222,35.13
49.013,125.535,92.271,50.853,15.6,150.334,143.913,141.74,148.709,71.652,98.922,89.461,73.815,30.372,49.323,1.584,Chavada,21.47472222,73.595,81.07
1.185,59.511,60.572,1.455,57.054,64.418,27.41,6.891,24.893,24.526,60.456,4.215,31.984,12.7,44.921,19.258,Vadal,21.47694444,71.80611111,28.52
33.027,35.657,2.143,60.905,15.194,16.832,40.443,43.19,20.476,11.789,9.646,5.202,20.661,40.533,50.107,10.467,Nizar1,21.47722222,74.19055556,22.55
40.044,58.354,58.761,65.193,45.821,18.513,55.261,17.43,65.008,15.891,62.571,42.712,55.789,31.234,19.78,27.567,Bagasara,21.47916667,70.9625,30.19
1.807,8.838,10.953,4.277,5.892,6.139,6.721,7.634,14.183,1.721,13.452,1.573,13.821,8.574,7.926,9.031,Bantva,21.4875,70.08333333,5
8.591,45.17,55.276,18.337,45.498,2.878,47.738,35.887,10.241,26.035,51.907,13.25,20.213,39.565,57.609,7.31,Aarda Boratha,21.4875,74.115,30.8
4.814,51.607,18.469,37.209,61.165,41.26,30.947,67.395,0.731,66.291,57.254,13.39,86.98,33.556,87.611,42.448,Umran,21.48805556,73.88305556,56.45
51.032,75.285,54.71,4.928,4.283,22.491,44.364,51.396,61.108,24.144,33.587,46.183,29.473,37.232,58.342,40.605,Jetpur1,21.49166667,72.70833333,38.31
63.6,98.081,11.162,50.279,10.231,119.967,44.791,59.132,14.481,81.863,64.533,115.375,145.703,88.23,61.251,159.419,Jankh,21.49222222,73.59694444,85.5
69.92,75.772,46.441,77.406,75.285,3.801,25.717,4.381,101.775,105.277,82.519,84.363,10.758,57.252,86.534,81.649,Gokharwala,21.5,71.25833333,79.89
32.664,11.632,34.707,36.339,11.499,17.003,0.044,39.019,26.177,12.811,28.995,26.161,6.157,19.99,17.564,35.285,Tansa,21.50833333,72.125,15.71
2.617,2.146,2.761,4.39,7.612,2.531,1.562,0.191,4.33,6.754,5.773,4.566,1.148,8.053,2.796,0.713,Junagadh,21.50944444,70.46222222,5
19.74,9.509,2.239,12.937,10.682,11.714,5.781,10.33,16.264,19.583,10.375,19.759,5.982,6.523,4.748,18.883,Khaidipada,21.51388889,73.51944444,14.69
3.553,10.167,3.141,8.645,12.822,6.859,5.232,11.691,7.928,4.074,3.103,6.278,0.727,0.467,1.743,6.365,Tukda,21.51611111,69.72861111,5
35.046,51.322,13.627,6.129,16.569,40.384,20.814,10.169,40.786,17.587,31.928,13.968,21.42,36.3,10.276,38.203,Junagadh1,21.51666667,70.45833333,26.42
47.966,33.518,29.45,35.909,40.026,8.166,40.725,28.019,67.99,37.624,51.115,39.904,25.611,57.937,57.968,11.069,Vankiya,21.52083333,71.13611111,38.16
52.114,23.927,18.51,36.906,4.129,13.384,1.181,23.341,27.992,47.493,13.751,4.694,44.356,4.11,22.683,6.287,Raymal,21.52083333,72.82083333,35.3
67.32,7.1,17.724,73.598,50.435,24.537,20.5,55.528,27.91,24.374,54.787,21.226,51.577,21.979,41.434,38.726,Chikada,21.52083333,73.64583333,26.71
128.682,78.785,71.839,102.58,37.677,8.666,29.24,50.313,250.503,77.825,30.628,97.467,77.208,187,74.004,186.503,Kanbi pitha,21.52083333,73.64583333,89.26
3.03,6.711,1.213,5.241,8.911,6.817,2.087,3.184,1.984,4.854,5.637,0.665,4.266,5.967,6.505,6.591,Palitana2,21.52222222,71.83888889,5
443.381,41.682,27.358,83.995,217.655,389.863,427.385,18.145,490.117,20.133,384.243,324.762,348.342,293.408,61.259,210.12,Punjapadar,21.525,71.35833333,108.98
16.63,59.081,49.765,45.038,19.623,41.816,2.275,44.519,7.437,0.397,60.258,49.745,64.578,20.64,31.238,21.291,Gangtha,21.525,74,20.54
43.897,36.872,38.776,9.879,11.743,21.324,35.832,35.529,8.974,48.206,41.769,44.769,18.643,2.076,44.751,23.71,Kavachiya,21.52916667,73.35416667,38.26
5.626,5.856,1.216,4.904,0.385,5.12,0.159,5.834,0.265,5.089,0.095,0.645,2.679,6.243,5.447,0.793,Mokhdi,21.53333333,73.2875,5
5.722,6.654,0.416,2.098,2.104,1.603,4.358,1.635,1.182,6.429,1.011,1.035,0.568,0.116,2.79,3.894,Panoli,21.5375,72.975,5
97.259,23.897,54.106,33.197,104.703,27.468,106.214,19.842,28.047,46.22,8.217,52.695,119.618,53.777,11.243,106.371,Paniwara,21.53944444,74.06944444,50.01
7.225,11.251,3.142,9.055,7.724,2.863,4.877,6.48,6.328,7.215,3.335,12.765,9.429,3.458,9.731,8.574,Govadka,21.54166667,71.15833333,7.46
37.476,23.091,48.784,18.492,15.2,9.81,40.023,27.338,83.144,46.453,52.421,35.764,4.246,11.186,39.763,42.733,Gariyadhar,21.54305556,71.56527778,34.93
66.875,68.582,69.693,129.286,95.363,41.71,3.274,88.729,113.415,52.124,14.655,41.759,141.707,29.537,28.618,166.147,Amayar,21.54722222,73.76666667,59.52
6.029,2.876,6.269,5.914,0.764,3.178,6.263,5.367,3.825,5.818,6.847,4.632,1.112,5.614,6.07,1.149,Panchpipla,21.55,71.72083333,5
105.971,162.412,196.351,177.932,11.406,20.053,31.75,51.457,166.158,5.542,166.378,177.073,64.039,100.864,17.88,199.015,Chuli,21.55472222,73.47555556,59.13
52.617,64.163,55.678,44.436,3.995,23.734,36.168,49.472,32.603,25.779,46.176,42.181,25.964,49.721,46.017,29.773,Motwan,21.55555556,72.8875,38.15
26.786,3.214,38.176,48.782,14.956,49.069,48.289,0.571,47.255,42.212,11.417,11.83,20.575,41.109,46.456,26.995,Sanaria,21.55777778,71.46805556,31.04
18.859,30.34,3.822,16.498,26.602,38.183,33.296,19.542,34.089,22.468,29.406,10.704,43.224,53.848,48.979,19.391,Oddar,21.56666667,69.68055556,27.92
7.848,54.23,54.194,19.707,34.815,41.286,17.769,5.782,59.472,33.814,30.691,49.547,32.169,25.734,10.888,51.049,Vavdi,21.56805556,72.19805556,33.63
39.301,54.419,169.879,162.034,74.985,13.978,11.974,154.305,11.21,40.398,46.062,139.154,164.06,27.691,55.45,26.385,Kondh,21.58055556,73.06805556,54.26
28.863,38.009,57.95,56.553,39.749,18.759,43.118,85.963,35.334,14.519,90.952,3.31,36.874,97.172,34.668,33.99,Vaghania juna,21.58333333,70.96666667,34.64
4.32,0.583,3.349,3.327,4.102,1.664,5.581,2.682,1.787,6.516,4.632,3.452,2.533,7.685,6.835,6.017,Saradiya,21.58861111,70.0375,5
6.639,15.838,11.436,13.783,10.91,13.293,8.655,15.255,5.033,0.483,11.946,11.752,4.873,0.794,8.458,3.6,Utraj,21.59166667,72.825,5
59.23,90.821,7.351,51.846,78.239,72.763,79.107,0.625,65.197,73.375,42.796,20.724,2.075,81.816,39.952,57.433,Jokhla,21.59583333,73.16916667,67.98
3.791,8.634,10.062,0.91,3.654,6.683,6.518,4.199,9.74,3.355,7.329,6.219,7.21,5.678,3.812,6.952,Ratanpur,21.60111111,69.65777778,5
22.207,76.202,7.635,72.573,5.383,62.275,77.8,18.302,31.322,12.822,61.578,17.168,1.285,65.107,74.239,31.226,Chokli,21.60194444,70.54166667,31.67
5.91,5.506,4.565,5.741,5.503,3.281,1.672,3.253,5.542,5.886,4.139,4.079,6.147,0.768,3.059,3.76,Patla,21.60416667,70.56916667,5
9.446,1.82,15.202,30.184,28.492,10.312,7.783,24.475,11.966,21.086,19.879,1.91,15.489,2.458,20.229,4.372,Amreli,21.60833333,71.225,14.54
253.489,88.19,119.791,36.75,189.262,26.282,69.167,145.198,4.05,4.896,246.541,195.189,178.538,164.346,228.388,173.438,Selemba,21.60833333,73.75833333,71.97
73.258,130.735,130.054,121.6,35.88,134.568,115.152,129.745,62.733,57.569,0.464,72.571,35.12,96.814,77.587,92.196,Vadal,21.60888889,70.50222222,79.72
28.301,20.479,0.997,8.185,0.605,27.686,14.796,41.063,10.001,20.622,43.911,32.156,38.154,41.21,32.337,20.046,Almadi,21.60888889,73.51083333,24.94
4.855,0.134,5.453,15.436,5.508,2.012,6.531,11.508,15.778,2.613,12.157,10.772,13.72,15.459,12.151,12.902,Ralda,21.61,73.6525,5
12.462,9.107,1.106,10.838,9.21,8.527,0.352,8.758,8.708,2.513,3.107,1.169,11.535,2.687,4.988,10.915,Arethi,21.6125,73.43527778,5
7.87,7.263,6.529,6.806,3.453,0.473,1.17,2,2.98,5.21,1.35,8.536,1.281,3.732,5.692,1.968,Sajod,21.61666667,72.92361111,5
5.722,1.49,3.746,9.674,8.243,5.361,5.238,9.672,10.236,6.04,6.647,0.82,1.913,4.219,8.522,6.638,Luvariya,21.625,71.39583333,5
46.816,19.664,44.904,66.928,91.925,4.441,31.353,79.664,63.611,22.485,64.475,76.563,51.699,18.313,83.487,81.831,Kutiyana1,21.63055556,70.01666667,28.93
14.834,0.98,37.865,38.497,1.274,42.628,10.613,96.192,25.618,21.954,14.489,69.757,91.578,46.687,24.672,79.011,Ishwaria,21.63333333,71.26666667,28.45
7.69,75.518,51.444,248.062,137.239,333.396,73.183,244.713,5.267,94.885,299.371,45.572,306.75,62.344,7.727,100.016,Modoliya,21.63333333,73.29583333,104.53
15.19,7.902,1.084,14.146,15.03,2.869,4.102,10.097,0.729,12.651,5.643,15.454,16.818,1.811,7.751,8.076,Netrang1,21.63333333,73.36666667,10.46
109.866,65.224,49.627,114.284,108.875,116.9,49.88,30.795,69.05,22.677,37.331,95.915,69.953,131.175,50.772,26.253,Dediapada,21.63333333,73.58333333,50.23
8.147,2.824,4.226,1.829,1.446,2.645,3.95,6.659,8.295,6.153,8.193,4.013,1.904,1.901,3.104,8.445,Piparla,21.63638889,71.91888889,5
4.119,3.751,1.568,5.121,3.073,6.305,1.665,1.358,0.518,6.65,5.702,0.027,0.978,4.442,5.61,3.633,Khijadiya,21.6375,71.7,5
52.89,1.975,28.586,29.139,29.368,13.624,37.649,18.648,41.019,45.352,16.046,45.56,3.691,31.219,51.535,4.319,Porbandar1,21.64166667,69.625,32.18
3.83,3.134,1.011,1.203,3.523,3.473,0.6,9.973,9.484,5.942,7.628,1.411,0.603,4.913,4.849,7.184,Patanvav,21.64444444,70.26111111,5
184.057,16.944,68.651,59.215,199.388,125.95,202.107,184.911,79.115,50.479,26.267,169.847,72.633,184.655,52.005,211.885,Porbandar,21.645,69.6425,79.62
9.48,1.976,16.508,2.146,8.046,5.074,17.171,7.697,0.39,20.579,11.042,19.221,1.003,8.532,1.324,14.294,Ankadia mota,21.64583333,71.10833333,13.56
3.299,3.561,1.617,10.089,5.445,4.908,7.905,2.928,7.697,5.82,0.501,10.353,5.504,4.311,4.357,10.312,Kandorna,21.64777778,69.88333333,5
7.283,6.669,16.658,0.667,10.872,6.339,3.751,4.273,7.302,3.797,18.966,2.025,9.419,2.129,15.448,12.126,Bhod,21.65888889,69.82111111,5
5.529,70.457,63.107,16.074,59.453,51.291,29.531,22.31,51.953,74.58,71.364,50.489,51.598,76.351,58.587,31.61,Bhada jodiya,21.6625,70.34166667,64.74
4.78,0.72,1.919,3.592,8.409,0.982,6.046,1.845,2.033,7.252,4.61,4.788,0.015,4.868,6.18,9.184,Kunkavav,21.6625,70.98333333,5
5.081,2.849,9.276,15.181,1.236,5.784,6.699,7.3,1.425,4.153,0.64,13.531,2.801,12.05,11.181,4.993,Nani singlot,21.66944444,73.66666667,5
30.849,21.68,174.205,58.336,26.399,76.493,374.376,23.394,254.43,102.041,253.447,68.001,238.39,172.156,101.036,208.65,Ganod,21.675,70.17916667,104.82
54.668,110.691,152.898,181.244,204.187,209.681,99.867,2.919,1.816,18.913,120.404,10.18,189.974,193.506,168.501,78.291,Luhara,21.675,72.55833333,68.47
6.646,1.314,0.841,7.29,7.526,5.531,4.849,5.526,3.692,6.311,0.094,4.088,3.29,5.555,1.331,2.222,Juna borbhata,21.675,72.975,5
12.568,8.304,0.572,14.463,2.141,8.629,2.727,2.888,0.491,2.402,6.356,12.91,9.107,7.686,17.452,9.465,Bhumbhali,21.67944444,72.24416667,5
1.133,12.108,7.851,12.408,5.617,2.449,22.942,13.789,15.58,14.873,22.034,10.068,10.158,15.678,24.847,0.557,Ghogha,21.68138889,72.27694444,13.47
